,x1,x2,y1,y2,object_type_Car,object_type_Van,static_dynamic_dynamic,static_dynamic_static,lat,lon,alt,roll,pitch,yaw,vn,ve,vf,vl,vu,ax,ay,az,af,al,au,wx,wy,wz,wf,wl,wu,pos_accuracy,vel_accuracy,navstat,numsats,posmode,velmode,orimode,Break,frame
0,168.48,233.71,162.67,289.58,1,0,0,1,48.94319266913,8.4088306440334,135.77313232422,0.043518,0.002646,-0.4748916732051,-2.6058162959815,4.9482760443629,5.5922255694663,0.052003356702236,0.046944009558932,-0.78052998847192,0.42613470685417,9.912833167181,-0.75243472053384,-0.0038680602309852,9.9241685330016,0.0028705944895438,-0.0028524959724439,0.0093221593954112,0.0028964907003837,-0.003253843371078,0.0091825093650614,0.28567113959937,0.030413812651491,4.0,13.0,4.0,4.0,6.0,True,0
1,169.13,236.54,148.99,282.03,1,0,0,1,48.943190355133,8.4088372842047,135.78369140625,0.044518,0.002674,-0.4742506732051,-2.5690811185411,4.8843372434372,5.5185281477855,0.052674858894483,0.055368675671459,-0.78002134861727,0.49881278723746,9.8226801287852,-0.75354104686066,0.065914797113066,9.8371999557117,0.0084034543836774,0.00010810964477669,0.0075557820334797,0.0084237685261398,-0.00022466294719945,0.0075315598469453,0.28567113959937,0.030413812651491,4.0,13.0,4.0,4.0,6.0,True,1
2,171.13,190.01,535.81,558.86,0,1,0,1,48.943187849806,8.4088444569042,135.80101013184,0.044921,0.00211,-0.4735576732051,-2.5220032102653,4.8098929175547,5.4307656801267,0.048644318222772,0.048030163718869,-0.82409809094262,0.52041137765106,9.600370945603,-0.80067413549565,0.0903249549996,9.6160267083387,0.0026821501309567,-0.0051839349752202,0.0076133757363238,0.0026998490217554,-0.0055194974118315,0.0073652957956085,0.28567113959937,0.030413812651491,4.0,13.0,4.0,4.0,6.0,False,2
3,171.77,191.04,535.02,558.42,0,1,0,1,48.943185620554,8.4088508887709,135.80494689941,0.044475,0.000652,-0.4728096732051,-2.478613273073,4.7414290628977,5.3500123055002,0.045329609048875,0.036664032190844,-0.80847655705718,0.49597623200049,9.7897504250146,-0.79567739057283,0.05919970690112,9.8031930151867,-0.0019512170108444,-0.011154823164102,0.0077725608833591,-0.0019413674590486,-0.011490209066143,0.0072696588927284,0.28567113959937,0.030413812651491,4.0,13.0,4.0,4.0,6.0,True,3
4,172.43,192.11,534.2,557.97,0,1,0,1,48.94318321065,8.4088578550109,135.8037109375,0.044909,5.2e-05,-0.4720746732051,-2.4368443511675,4.6596998313122,5.2581893581592,0.049508184205588,0.043554328231251,-0.88345511508803,0.42658790235727,9.9187496520917,-0.88010253278188,-0.016506805561168,9.9281923231367,0.0046828358723085,-0.0046218493038894,0.0068516739380496,0.0046854518229754,-0.0049229429017324,0.0066391719484393,0.28567113959937,0.030413812651491,4.0,13.0,4.0,4.0,1.0,True,4
5,171.66,191.75,533.45,557.77,0,1,0,1,48.943181067553,8.4088640875722,135.80488586426,0.045905,-0.000335,-0.4714476732051,-2.3965454975893,4.5762119094428,5.1654733212561,0.054956850675897,0.052804925058558,-0.95554607393414,0.41779861978056,9.8783316792145,-0.95648059211742,-0.030218890928429,9.887012352064,0.010283809179282,-0.0038076247071492,0.006524171228487,0.010283361894854,-0.004099110239209,0.006347356000524,0.28567113959937,0.030413812651491,4.0,13.0,4.0,4.0,1.0,True,5
6,170.86,191.37,532.66,557.55,0,1,0,1,48.943178951989,8.4088702136479,135.8095703125,0.047276,-0.000252,-0.4707546732051,-2.354176498295,4.4880313796117,5.0676349396015,0.060320132439521,0.057683320417202,-0.990945158057,0.45745775081025,9.8108715541708,-0.99399847684582,-0.00039542119020314,9.8212399613712,0.011337694980391,0.0014792452857241,0.0077147678707687,0.01133527670399,0.0011169448713169,0.0077818897285784,0.28567113959937,0.030413812651491,4.0,13.0,4.0,4.0,1.0,True,6
7,170.02,190.97,531.85,557.33,0,1,0,1,48.943176699727,8.4088768383682,135.81517028809,0.047594,0.001374,-0.4699266732051,-2.2925712091313,4.3923509445461,4.9543754277013,0.053068742010209,0.06376066507972,-1.0607800377959,0.66209114456602,9.8090928048607,-1.0553374235295,0.19607454128388,9.8301041120848,0.0027288210853696,0.01483846565116,0.007036521373084,0.002732809523996,0.014487809792602,0.0077367839887892,0.28567113959937,0.030413812651491,4.0,13.0,4.0,4.0,1.0,True,7
8,169.14,190.56,530.99,557.11,0,1,0,1,48.943174719238,8.4088827406828,135.82186889648,0.046905,0.00343,-0.4694276732051,-2.2278353993263,4.3009308798621,4.8435214175938,0.039800357123151,0.06514498153612,-1.185804840179,0.53520110598164,9.774521442699,-1.1628805367608,0.074098298106318,9.7917380265071,-0.0037707364939069,0.019423847777411,0.0046865205710399,-0.0037593563269077,0.019181093293636,0.0056077262309737,0.28567113959937,0.030413812651491,4.0,13.0,4.0,4.0,6.0,True,8
9,168.23,190.13,530.1,556.87,0,1,0,1,48.943172837543,8.4088884962142,135.83285522461,0.046737,0.004399,-0.4689096732051,-2.1706543431384,4.191209618189,4.7197780585205,0.040924621005271,0.061943598879827,-1.3192898536567,0.40332812633532,9.7592526228635,-1.2816821065368,-0.054135836238669,9.7725233405543,-0.0014745679746119,0.010121720896133,0.0058286856512742,-0.0014504534220796,0.009837604533958,0.0063022508621935,0.28567113959937,0.030413812651491,4.0,13.0,4.0,4.0,6.0,True,9
